title,director,cast,country,date_added,release_year,listed_in,description,platform
pluto's purchase,['charles nichols'],"['pinto colvig', ' james macdonald']",['united states'],"april 17, 2020",1948,"['animation', ' family']",pluto is in for a surprise when mickey sends him to buy a salami. see details for advisory.,disney_plus
tron uprising,[],"['elijah wood', ' bruce boxleitner', ' emmanuelle chriqui', ' mandy moore', ' nate corddry', ' lance henriksen']",['united states'],"april 14, 2020",2011,"['action-adventure', ' animation', ' kids']","inside the computer world of the grid, beck becomes the unlikely leader of a revolution.",disney_plus
a celebration of the music from coco,['ron de moraes'],"['benjamin bratt', ' eva longoria', ' carlos rivera', ' natalia jiménez', ' alanna ubach', ' jaime camil']",['united states'],"april 10, 2020",2020,"['concert film', ' music', ' musical']",“coco” is brought to life on stage with musical performances at the historic hollywood bowl.,disney_plus
disney playtime with puppy dog pals (shorts),[],[],[],"april 10, 2020",2017,"['animation', ' kids']",come play with the puppy dog pals!,disney_plus
"maggie simpson in ""playdate with destiny""",['david silverman'],[],['united states'],"april 10, 2020",2020,"['animation', ' comedy']",a heroic baby saves maggie simpson from playground peril – and steals her heart.,disney_plus
paradise islands,[],['michael izqueirdo'],[],"april 10, 2020",2017,"['animals & nature', ' docuseries', ' family']",the islands that lie between asia and australia can claim to be the biologically richest on earth.,disney_plus
tut's treasures,[],['mark bazeley'],['united kingdom'],"april 10, 2020",2018,"['docuseries', ' historical']",the pharaoh’s priceless grave goods are being reunited for the first time since their discovery.,disney_plus
a tale of two critters,['jack speirs'],['mayf nutter'],['united states'],"april 3, 2020",1977,"['animals & nature', ' family']",a bear cub and a raccoon become fast friends. see details for advisory.,disney_plus
all in a nutshell,['jack hannah'],[],['united states'],"april 3, 2020",1949,"['animation', ' family']",donald steals chip and dale's nuts and ends up in a lake. see details for advisory.,disney_plus
disneynature penguins,"['alastair fothergill', ' jeff wilson']",['ed helms'],['united states'],"april 3, 2020",2019,"['animals & nature', ' documentary', ' family']",steve the penguin embarks on an epic quest to find love and start a family.,disney_plus
diving with dolphins,['keith scholey'],['celine cousteau'],['united states'],"april 3, 2020",2020,"['animals & nature', ' documentary', ' family']",disneynature explores the making of dolphin reef. céline cousteau narrates english-language version.,disney_plus
dolphin reef,['keith scholey'],['natalie portman'],['united states'],"april 3, 2020",2018,"['animals & nature', ' documentary', ' family']",a playful young dolphin named echo must master his vital role in the coral reef community.,disney_plus
don's fountain of youth,['jack hannah'],[],['united states'],"april 3, 2020",1953,"['animation', ' family']",donald's trick at the fountain of youth is cut short by an alligator. see details for advisory.,disney_plus
donald's dog laundry,['jack king'],[],['united states'],"april 3, 2020",1940,"['animation', ' family']",donald entices pluto to try his mechanical dog washer. see details for advisory.,disney_plus
double dribble,['jack hannah'],[],['united states'],"april 3, 2020",1946,"['animation', ' family', ' sports']",goofy explores the wonderful world of basketball. see details for advisory.,disney_plus
dragon around,['jack hannah'],[],['united states'],"april 3, 2020",1954,"['animation', ' family']",chip and dale defend their home against donald's dragon-like steam shovel. see details for advisory.,disney_plus
elephant,['mark linfield'],"['meghan', '  the duchess of sussex']",['united states'],"april 3, 2020",2020,"['animals & nature', ' documentary', ' family']",african elephant shani and her spirited son jomo make the epic journey of their ancestors.,disney_plus
elmer elephant,['wilfred jaxon'],"['jeanie roberts', ' pinto colvig', ' hal rees', ' leone ledoux', ' carlisle tupper', ' gay seabrook']",['united states'],"april 3, 2020",1936,"['animation', ' family']",an elephant is ashamed of his trunk until he saves his friend with it. see details for advisory.,disney_plus
fish hooks,[],"['chelsea kane', ' kyle massey', ' justin roiland']",['united states'],"april 3, 2020",2010,"['animation', ' comedy', ' coming of age']","milo, bea and oscar are three bffs, best fish friends.",disney_plus
how to play football,['jack kinney'],['pinto colvig'],['united states'],"april 3, 2020",1944,"['animation', ' family', ' parody']",goofy demonstrates the game of football. see details for advisory.,disney_plus
in the footsteps of elephant,['vanessa berlowitz'],['jeremy sisto'],['united states'],"april 3, 2020",2020,"['animals & nature', ' documentary', ' family']",filmmakers capture an epic journey through the kalahari desert for disneynature’s “elephant.”,disney_plus
"lambert, the sheepish lion",['jack hannah'],['sterling holloway'],['united states'],"april 3, 2020",1952,"['animation', ' family']",a mix-up finds a little lion cub in the care of a gentle flock of sheep.,disney_plus
on ice,['ben sharpsteen'],"['pinto colvig', ' walt disney', ' marcellite garner']",['united states'],"april 3, 2020",1935,"['animation', ' comedy', ' family']",mickey and friends enjoy skating on a frozen river. see details for advisory.,disney_plus
onward,['dan scanlon'],"['tom holland', ' chris pratt', ' julia louis-dreyfus', ' octavia spencer', ' mel rodriguez', ' kyle bornheimer']",['united states'],"april 3, 2020",2020,"['action-adventure', ' animation', ' comedy']",two elf brothers embark on an extraordinary quest in disney and pixar’s onward!,disney_plus
out of scale,['jack hannah'],[],['united states'],"april 3, 2020",1951,"['animation', ' family']","donald declares chip n dale's tree ""out of scale"" for his train set. see details for advisory.",disney_plus
penguins,"['alastair fothergill', ' jeff wilson']",['blair underwood'],['united states'],"april 3, 2020",2020,"['animals & nature', ' documentary', ' family']",a witty and tenacious team of filmmakers brave the antarctic to film disneynature’s “penguins.”,disney_plus
pluto's party,['milt schaffer'],"['jimmy macdonald', ' pinto colvig']",['united states'],"april 3, 2020",1952,"['animation', ' family']",it's pluto's birthday party!,disney_plus
sea scouts,['dick lundy'],[],['united states'],"april 3, 2020",1939,"['animation', ' family']",donald and his nephews encounter a shark. see details for advisory.,disney_plus
sonny with a chance,[],"['demi lovato', ' tiffany thornton', ' sterling knight', ' brandon smith', ' doug brochu', ' allisyn arm']",['united states'],"april 3, 2020",2008,"['comedy', ' coming of age', ' romance']",a teen girl is selected from a nationwide search to join the cast of a sketch-comedy series.,disney_plus
the boy who talked to badgers,['gary nelson'],"['carl betz', ' salome jens', ' christian juttner', ' robert donner', ' denver pyle', ' stuart lee']",['united states'],"april 3, 2020",1975,"['action-adventure', ' animals & nature', ' drama']",a young farm boy relies on the help of a badger to survive the wilderness. see details for advisory.,disney_plus
the new neighbor,['jack hannah'],[],['united states'],"april 3, 2020",1953,"['animation', ' family']",sparks fly when donald moves next door to pete and his reckless dog. see details for advisory.,disney_plus
the small one,['don bluth'],"['sean marshall', ' william woodson', ' olan soulé', ' joe higgins', ' gordon jump', ' hal smith']",['united states'],"april 3, 2020",1978,"['animation', ' family', ' historical']",a young boy discovers the true spirit of the christmas season. see details for advisory.,disney_plus
the straight story,['david lynch'],"['richard farnsworth', ' sissy spacek', ' harry stanton', ' everett mcgill', ' john farley', ' kevin farley']","['france', ' united kingdom', ' united states']","april 3, 2020",1999,"['biographical', ' drama']",story of a man who takes a six week trip on his riding lawn mower.,disney_plus
frankenweenie,['tim burton'],"[""catherine o'hara"", ' martin short', ' martin landau', ' charlie tahan', ' atticus shaffer', ' winona ryder']",['united states'],"april 1, 2020",2012,"['animation', ' comedy', ' drama']",disney presents a comic twist on a classic tale from tim burton.,disney_plus
mars needs moms,['simon wells'],"['seth green', ' dan fogler', ' elizabeth harnois', ' mindy sterling', ' kevin cahoon', ' joan cusack']",['united states'],"april 1, 2020",2011,"['action-adventure', ' animation', ' family']",nine-year-old milo sets out to save his mom when she is abducted by martians.,disney_plus
prom,['joe nussbaum'],"['aimee teegarden', ' thomas mcdonell', "" de'vaughn nixon"", ' danielle campbell', ' yin chang', ' jared kusnitz']",['united states'],"april 1, 2020",2011,"['comedy', ' coming of age', ' drama']","at prom, every couple has a story, and no two are exactly alike.",disney_plus
the last song,['julie robinson'],"['miley cyrus', ' liam hemsworth', ' bobby coleman', ' nick searcy', ' kelly preston', ' greg kinnear']",['united states'],"april 1, 2020",2010,"['coming of age', ' drama', ' music']",a rebellious daughter and her estranged father try to restore the loving relationship they once had.,disney_plus
the odd life of timothy green,['peter hedges'],"['jennifer garner', ' joel edgerton', ' dianne wiest', ' cj adams', ' rosemarie dewitt', ' ron livingston']",['united states'],"april 1, 2020",2012,"['drama', ' family', ' fantasy']",an unexpected surprise arrives on the doorstep of a couple who can't have children of their own.,disney_plus
be our chef,[],['angela kinsey'],[],"march 27, 2020",2020,"['family', ' game show / competition']",angela kinsey hosts five families in a disney-inspired cooking competition.,disney_plus
a wrinkle in time,['ava duvernay'],"['oprah winfrey', ' reese witherspoon', ' mindy kaling', ' storm reid', ' levi miller', ' deric mccabe']",['united states'],"march 25, 2020",2018,"['action-adventure', ' coming of age', ' family']",meg travels through time and space to find her father.,disney_plus
disney i didn't do it,[],"['olivia holt', ' austin north', ' piper curda', ' peyton clark', ' sarah gilman']",['united states'],"march 20, 2020",2013,"['comedy', ' family']",fraternal twins try to explain exactly what just happened.,disney_plus
disney insider,[],[],['united states'],"march 20, 2020",2020,"['anthology', ' docuseries']","“disney insider” tells the stories behind disney’s films, parks, destinations, toys & more.",disney_plus
disney vampirina ghoul girls rock! (shorts),[],"['isabella crovetti', ' jordan davis', ' viviann yee', ' mitchell whitfield', ' wanda sykes', ' ian corlett']",[],"march 20, 2020",2017,"['animation', ' fantasy', ' kids']",rock out to music videos from the ghoul girls!,disney_plus
g,['hoyt yeatman iv'],"['bill nighy', ' will arnett', ' zach galifianakis', ' kelli garner', ' tyler jones', ' jack conley']",['united states'],"march 15, 2020",2009,"['action-adventure', ' comedy', ' family']",four highly trained fbi guinea pigs set out to save the world.,disney_plus
frozen 2,"['chris buck', ' jennifer lee']","['kristen bell', ' idina menzel', ' josh gad', ' jonathan groff', ' sterling brown', ' evan wood']",['united states'],"march 14, 2020",2019,"['action-adventure', ' animation', ' family']",elsa journeys into the unknown to uncover truths about the past.,disney_plus
